guid/image,y1,x1,y2,x2
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0027,429,652,467,689
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0128,394,989,434,1030
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0021,409,1267,456,1323
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0227,477,0,619,610
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0168,356,0,734,284
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0015,338,510,665,704
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0104,392,780,455,866
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0065,461,448,524,584
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0003,463,1185,515,1277
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0179,429,1137,467,1198
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0096,368,746,485,923
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0201,76,0,854,1914
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0194,0,0,795,1710
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0130,397,915,465,1034
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0119,404,778,447,838
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0236,443,737,487,809
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0032,433,509,480,575
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0114,399,403,508,667
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0091,0,0,612,1769
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0046,0,0,0,0
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0252,468,591,513,646
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0192,390,676,423,717
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0193,324,689,381,784
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0244,314,1324,357,1373
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0217,21,36,326,1378
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0169,481,673,513,715
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0248,420,803,507,946
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0165,90,85,1052,1914
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0220,197,138,1052,1814
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0049,0,0,0,0
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0052,375,1077,415,1128
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0225,475,370,562,603
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0141,398,790,506,977
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0178,0,0,687,1830
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0258,410,683,439,722
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0101,381,850,426,909
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0127,407,990,440,1028
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0162,468,386,511,433
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0063,482,529,527,639
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0164,78,23,1052,1914
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0190,372,737,421,781
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0208,264,1272,316,1321
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0237,450,813,506,891
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0117,401,797,442,848
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0218,166,46,1052,1863
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0259,409,700,437,732
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0040,425,828,470,865
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0269,0,107,835,1680
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0129,395,943,456,1039
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0197,25,0,761,1914
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0264,398,784,437,854
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0198,73,78,851,1914
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0107,392,360,571,707
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0134,248,287,585,812
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0083,412,1143,444,1184
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0260,381,735,428,776
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0216,88,14,1052,1872
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0233,531,443,565,498
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0079,424,827,493,927
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0108,296,0,801,514
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0271,424,1040,531,1250
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0238,398,782,484,893
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0057,415,671,492,790
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0074,451,1116,492,1164
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0245,342,1207,388,1273
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0110,435,593,472,643
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0039,417,854,467,905
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0115,404,283,620,661
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0025,407,895,490,974
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0222,501,456,537,528
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0145,415,900,451,951
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0071,426,656,503,775
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0171,438,757,496,831
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0028,341,303,592,693
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0022,407,1114,462,1179
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0200,64,0,848,1914
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0031,451,403,498,546
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0226,470,338,566,577
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0187,396,984,436,1043
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0080,473,563,507,603
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0267,0,65,849,1745
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0142,4,69,784,1755
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0008,0,0,0,0
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0157,435,587,474,644
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0077,436,915,488,982
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0262,406,788,449,884
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0199,108,19,887,1914
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0112,428,599,473,673
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0146,408,857,451,916
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0161,431,559,511,670
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0147,417,818,463,883
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0277,314,838,362,930
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0059,421,516,529,711
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0205,0,0,534,1648
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0087,377,1079,449,1145
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0004,467,1291,514,1373
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0051,364,858,398,890
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0086,418,1111,451,1154
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0153,344,45,665,1514
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0152,397,557,539,771
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0160,427,591,492,699
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0069,436,905,484,941
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0270,502,1532,542,1566
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0111,431,606,468,673
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0219,253,134,1052,1749
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0102,382,819,432,899
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0223,509,443,555,537
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0041,415,769,450,800
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0268,424,182,502,310
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0007,0,0,0,0
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0159,0,0,0,0
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0231,76,14,957,1804
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0182,0,70,528,1689
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0275,299,833,332,899
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0068,434,823,488,882
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0254,463,633,502,701
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0133,381,680,516,839
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0038,406,796,456,880
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0241,401,613,619,999
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0067,398,0,715,314
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0256,413,489,535,726
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0037,414,809,460,883
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0064,465,503,517,663
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0126,397,981,428,1023
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0122,404,720,477,817
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0154,219,0,765,329
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0073,403,0,753,438
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0054,436,721,482,806
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0109,426,535,457,581
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0240,395,748,518,1001
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0056,433,707,480,806
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0002,288,1045,386,1173
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0095,379,831,478,977
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0013,391,970,475,1014
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0174,342,255,653,713
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0034,0,0,0,0
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0235,484,651,521,699
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0137,391,1146,438,1209
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0026,399,790,496,923
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0239,330,1049,371,1131
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0138,386,1100,444,1171
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0076,439,954,482,1013
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0278,290,845,343,954
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0047,449,1330,495,1366
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0125,344,0,781,393
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0017,354,1595,383,1637
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0058,411,638,510,757
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0181,427,1130,477,1189
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0033,347,0,694,506
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0263,399,781,446,870
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0078,424,861,489,956
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0075,425,997,474,1031
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0266,388,996,426,1034
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0274,296,840,324,887
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0251,483,539,525,608
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0170,437,771,481,817
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0093,408,982,475,1076
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0030,488,324,531,377
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0000,17,0,391,1783
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0163,365,0,753,729
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0131,371,857,486,1005
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0124,392,430,551,719
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0140,109,37,802,1835
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0036,424,1015,461,1057
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0042,438,779,480,821
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0242,33,66,721,1914
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0155,435,523,468,582
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0148,0,17,822,1614
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0132,402,800,474,909
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0191,387,722,427,757
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0014,385,800,531,888
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0203,362,761,470,982
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0090,398,994,455,1104
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0228,463,0,631,508
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0062,477,492,514,606
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0150,406,720,490,803
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0213,0,23,478,1541
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0261,397,1011,431,1051
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0180,435,1145,471,1179
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0113,511,733,554,766
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0143,0,37,838,1827
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0045,440,444,477,506
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0172,422,725,495,840
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0215,246,1,788,386
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0098,229,0,768,427
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0066,463,287,571,544
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0044,416,461,443,499
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0072,432,431,547,764
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0043,441,744,485,777
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0206,226,1429,263,1480
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0279,375,1445,411,1547
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0249,403,545,530,786
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0230,38,0,991,1727
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0099,342,950,388,1000
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0149,0,0,822,1825
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0118,399,786,442,845
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0048,402,1679,438,1717
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0196,0,0,807,1775
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0084,420,1138,448,1172
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0202,358,1022,428,1108
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0011,350,1262,386,1292
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0175,446,0,870,304
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0234,499,555,528,599
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0023,409,1028,459,1093
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0189,374,753,413,797
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0097,0,0,686,1563
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0246,358,1068,413,1151
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0156,434,565,472,617
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0151,15,55,822,1513
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0211,120,0,852,1707
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0229,435,0,652,326
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0092,394,981,456,1091
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0209,86,23,835,1829
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0253,448,611,496,660
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0265,358,747,427,839
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0088,341,1326,414,1417
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0210,40,0,871,1862
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0232,0,0,0,0
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0176,419,1254,455,1286
