guid/image/axis,value
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0019/y,-3.282997763
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0019/z,24.37978819
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0020/x,-20.28552457
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0020/y,-6.079418345
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0020/z,19.23400666
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0021/x,-19.7875166
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0021/y,-5.57606264
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0021/z,16.94528397
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0022/x,-19.20097388
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0022/y,-5.939597315
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0022/z,14.63185068
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0023/x,-19.10137229
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0023/y,-7.841163311
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0023/z,12.23463109
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0024/x,-17.43027888
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0024/y,-1.82885906
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0024/z,27.09066436
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0025/x,-18.08322266
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0025/y,0.939597315
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0025/z,9.749766809
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0026/x,-17.78441788
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0026/y,-3.310961969
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0026/z,9.018361423
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0027/x,-15.58211598
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0027/y,1.079418345
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0027/z,9.411005123
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0028/x,-17.44134573
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0028/y,0.212527964
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0028/z,8.234548629
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0029/x,-16.72200089
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0029/y,3.428411633
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0029/z,8.463016373
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0030/x,-17.51881363
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0030/y,4.826621924
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0030/z,7.158305062
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0031/x,-19.24524126
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0031/y,8.070469799
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0031/z,5.808943445
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0032/x,-18.6476317
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0032/y,2.058165548
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0032/z,8.384710507
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0033/x,-20.45152722
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0033/y,3.31655481
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0033/z,7.90122832
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0034/x,0.542275343
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0034/y,-3.506711409
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0034/z,70.00834737
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0035/x,5.810092961
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0035/y,-2.108501119
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0035/z,26.39714693
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0036/x,-7.70252324
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0036/y,-4.37360179
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0036/z,76.11864762
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0037/x,-8.300132802
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0037/y,-4.653243848
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0037/z,47.48111037
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0038/x,-9.218680832
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0038/y,-4.317673378
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0038/z,40.72222641
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0039/x,-10.13722886
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0039/y,-4.932885906
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0039/z,38.54106615
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0040/x,-11.53165117
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0040/y,-4.70917226
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0040/z,33.93170669
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0041/x,-15.43824701
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0041/y,-3.394854586
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0041/z,13.09669878
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0042/x,-17.51881363
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0042/y,-5.324384787
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0042/z,14.91963937
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0043/x,-17.85081895
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0043/y,-4.821029083
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0043/z,9.681517459
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0044/x,-20.23019035
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0044/y,-4.03803132
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0044/z,19.56105249
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0045/x,-11.06684374
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0045/y,-2.919463087
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0045/z,33.46258566
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0046/x,7.713590084
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0046/y,-7.170022371
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0046/z,48.56476473
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0047/x,6.684373617
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0047/y,-6.666666667
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0047/z,74.78282139
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0048/x,8.953076583
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0048/y,-6.359060403
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0048/z,71.07669807
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0049/x,10.76803896
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0049/y,-6.918344519
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0049/z,78.43472809
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0050/x,10.22576361
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0050/y,-7.365771812
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0050/z,78.18627232
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0051/x,12.67153608
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0051/y,-6.526845638
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0051/z,63.20422863
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0052/x,-13.77822045
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0052/y,-3.143176734
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0052/z,46.9394281
0426de18-2865-4d4b-84e7-eac2f041e5c3/0000/x,17.31961045
0426de18-2865-4d4b-84e7-eac2f041e5c3/0000/y,0.91163311
0426de18-2865-4d4b-84e7-eac2f041e5c3/0000/z,72.27720262
0426de18-2865-4d4b-84e7-eac2f041e5c3/0001/x,11.89685702
0426de18-2865-4d4b-84e7-eac2f041e5c3/0001/y,-0.96196868
0426de18-2865-4d4b-84e7-eac2f041e5c3/0001/z,70.47565771
0426de18-2865-4d4b-84e7-eac2f041e5c3/0002/x,6.551571492
0426de18-2865-4d4b-84e7-eac2f041e5c3/0002/y,-1.744966443
0426de18-2865-4d4b-84e7-eac2f041e5c3/0002/z,61.0929584
0426de18-2865-4d4b-84e7-eac2f041e5c3/0003/x,3.718459495
0426de18-2865-4d4b-84e7-eac2f041e5c3/0003/y,-2.276286353
0426de18-2865-4d4b-84e7-eac2f041e5c3/0003/z,59.17045141
0426de18-2865-4d4b-84e7-eac2f041e5c3/0004/x,0.940681718
0426de18-2865-4d4b-84e7-eac2f041e5c3/0004/y,-4.03803132
0426de18-2865-4d4b-84e7-eac2f041e5c3/0004/z,45.12401232
0426de18-2865-4d4b-84e7-eac2f041e5c3/0005/x,-5.256750775
0426de18-2865-4d4b-84e7-eac2f041e5c3/0005/y,-3.926174497
0426de18-2865-4d4b-84e7-eac2f041e5c3/0005/z,45.79640664
0426de18-2865-4d4b-84e7-eac2f041e5c3/0006/x,-15.90305445
0426de18-2865-4d4b-84e7-eac2f041e5c3/0006/y,-0.570469799
0426de18-2865-4d4b-84e7-eac2f041e5c3/0006/z,39.39442707
0426de18-2865-4d4b-84e7-eac2f041e5c3/0007/x,-15.82558654
0426de18-2865-4d4b-84e7-eac2f041e5c3/0007/y,-0.794183445
0426de18-2865-4d4b-84e7-eac2f041e5c3/0007/z,41.88203693
0426de18-2865-4d4b-84e7-eac2f041e5c3/0008/x,-15.64851704
0426de18-2865-4d4b-84e7-eac2f041e5c3/0008/y,-0.989932886
0426de18-2865-4d4b-84e7-eac2f041e5c3/0008/z,39.4398368
0426de18-2865-4d4b-84e7-eac2f041e5c3/0009/x,-15.80345286
0426de18-2865-4d4b-84e7-eac2f041e5c3/0009/y,-1.101789709
0426de18-2865-4d4b-84e7-eac2f041e5c3/0009/z,39.51005703
0426de18-2865-4d4b-84e7-eac2f041e5c3/0010/x,-20.89420097
0426de18-2865-4d4b-84e7-eac2f041e5c3/0010/y,-0.234899329
0426de18-2865-4d4b-84e7-eac2f041e5c3/0010/z,35.33457631
0426de18-2865-4d4b-84e7-eac2f041e5c3/0011/x,-17.59628154
0426de18-2865-4d4b-84e7-eac2f041e5c3/0011/y,-3.36689038
0426de18-2865-4d4b-84e7-eac2f041e5c3/0011/z,60.3993962
0426de18-2865-4d4b-84e7-eac2f041e5c3/0012/x,14.5750332
0426de18-2865-4d4b-84e7-eac2f041e5c3/0012/y,-4.70917226
0426de18-2865-4d4b-84e7-eac2f041e5c3/0012/z,24.80358948
0426de18-2865-4d4b-84e7-eac2f041e5c3/0013/x,-14.72996901
0426de18-2865-4d4b-84e7-eac2f041e5c3/0013/y,-2.360178971
0426de18-2865-4d4b-84e7-eac2f041e5c3/0013/z,35.8648489
0426de18-2865-4d4b-84e7-eac2f041e5c3/0014/x,-11.0336432
0426de18-2865-4d4b-84e7-eac2f041e5c3/0014/y,-2.639821029
0426de18-2865-4d4b-84e7-eac2f041e5c3/0014/z,51.73454134
0426de18-2865-4d4b-84e7-eac2f041e5c3/0015/x,-13.10314298
0426de18-2865-4d4b-84e7-eac2f041e5c3/0015/y,-2.472035794
0426de18-2865-4d4b-84e7-eac2f041e5c3/0015/z,37.13281085
0426de18-2865-4d4b-84e7-eac2f041e5c3/0016/x,-11.37671536
0426de18-2865-4d4b-84e7-eac2f041e5c3/0016/y,-2.807606264
0426de18-2865-4d4b-84e7-eac2f041e5c3/0016/z,47.49086122
0426de18-2865-4d4b-84e7-eac2f041e5c3/0017/x,-12.10712705
0426de18-2865-4d4b-84e7-eac2f041e5c3/0017/y,-2.527964206
0426de18-2865-4d4b-84e7-eac2f041e5c3/0017/z,31.2312713
0426de18-2865-4d4b-84e7-eac2f041e5c3/0018/x,-6.629039398
0426de18-2865-4d4b-84e7-eac2f041e5c3/0018/y,-3.646532438
0426de18-2865-4d4b-84e7-eac2f041e5c3/0018/z,42.7043215
0426de18-2865-4d4b-84e7-eac2f041e5c3/0019/x,3.563523683
0426de18-2865-4d4b-84e7-eac2f041e5c3/0019/y,2.086129754
0426de18-2865-4d4b-84e7-eac2f041e5c3/0019/z,10.5537108
0426de18-2865-4d4b-84e7-eac2f041e5c3/0020/x,1.394422311
0426de18-2865-4d4b-84e7-eac2f041e5c3/0020/y,-3.310961969
0426de18-2865-4d4b-84e7-eac2f041e5c3/0020/z,39.49835987
0426de18-2865-4d4b-84e7-eac2f041e5c3/0021/x,4.482071713
0426de18-2865-4d4b-84e7-eac2f041e5c3/0021/y,-3.310961969
0426de18-2865-4d4b-84e7-eac2f041e5c3/0021/z,34.97364038
0426de18-2865-4d4b-84e7-eac2f041e5c3/0022/x,-16.92120407
0426de18-2865-4d4b-84e7-eac2f041e5c3/0022/y,-0.458612975
0426de18-2865-4d4b-84e7-eac2f041e5c3/0022/z,32.27058213
0426de18-2865-4d4b-84e7-eac2f041e5c3/0023/x,-21.09340416
0426de18-2865-4d4b-84e7-eac2f041e5c3/0023/y,1.10738255
0426de18-2865-4d4b-84e7-eac2f041e5c3/0023/z,27.41373041
0426de18-2865-4d4b-84e7-eac2f041e5c3/0024/x,-6.485170429
0426de18-2865-4d4b-84e7-eac2f041e5c3/0024/y,-1.577181208
0426de18-2865-4d4b-84e7-eac2f041e5c3/0024/z,55.77316771
0426de18-2865-4d4b-84e7-eac2f041e5c3/0025/x,-8.045595396
0426de18-2865-4d4b-84e7-eac2f041e5c3/0025/y,-1.437360179
0426de18-2865-4d4b-84e7-eac2f041e5c3/0025/z,63.95832628
0426de18-2865-4d4b-84e7-eac2f041e5c3/0026/x,-8.908809208
0426de18-2865-4d4b-84e7-eac2f041e5c3/0026/y,-1.437360179
0426de18-2865-4d4b-84e7-eac2f041e5c3/0026/z,62.04580328
0426de18-2865-4d4b-84e7-eac2f041e5c3/0027/x,-8.532536521
0426de18-2865-4d4b-84e7-eac2f041e5c3/0027/y,-1.325503356
0426de18-2865-4d4b-84e7-eac2f041e5c3/0027/z,40.70293946
0426de18-2865-4d4b-84e7-eac2f041e5c3/0028/x,-8.123063302
0426de18-2865-4d4b-84e7-eac2f041e5c3/0028/y,-1.101789709
0426de18-2865-4d4b-84e7-eac2f041e5c3/0028/z,44.19322521
0426de18-2865-4d4b-84e7-eac2f041e5c3/0029/x,-8.289065958
0426de18-2865-4d4b-84e7-eac2f041e5c3/0029/y,-0.682326622
0426de18-2865-4d4b-84e7-eac2f041e5c3/0029/z,35.54808826
0426de18-2865-4d4b-84e7-eac2f041e5c3/0030/x,-9.030544489
0426de18-2865-4d4b-84e7-eac2f041e5c3/0030/y,0.072706935
0426de18-2865-4d4b-84e7-eac2f041e5c3/0030/z,25.53722924
0426de18-2865-4d4b-84e7-eac2f041e5c3/0031/x,-10.53563524
0426de18-2865-4d4b-84e7-eac2f041e5c3/0031/y,-0.458612975
0426de18-2865-4d4b-84e7-eac2f041e5c3/0031/z,71.75664489
0426de18-2865-4d4b-84e7-eac2f041e5c3/0032/x,-13.23594511
0426de18-2865-4d4b-84e7-eac2f041e5c3/0032/y,0.57606264
0426de18-2865-4d4b-84e7-eac2f041e5c3/0032/z,39.6450178
0426de18-2865-4d4b-84e7-eac2f041e5c3/0033/x,-14.78530323
0426de18-2865-4d4b-84e7-eac2f041e5c3/0033/y,-1.045861298
0426de18-2865-4d4b-84e7-eac2f041e5c3/0033/z,61.99837102
0426de18-2865-4d4b-84e7-eac2f041e5c3/0034/x,-11.75298805
0426de18-2865-4d4b-84e7-eac2f041e5c3/0034/y,-3.36689038
0426de18-2865-4d4b-84e7-eac2f041e5c3/0034/z,48.86249249
0426de18-2865-4d4b-84e7-eac2f041e5c3/0035/x,8.277999115
0426de18-2865-4d4b-84e7-eac2f041e5c3/0035/y,-2.947427293
0426de18-2865-4d4b-84e7-eac2f041e5c3/0035/z,40.97429466
0426de18-2865-4d4b-84e7-eac2f041e5c3/0036/x,11.1332448
0426de18-2865-4d4b-84e7-eac2f041e5c3/0036/y,-1.213646532
0426de18-2865-4d4b-84e7-eac2f041e5c3/0036/z,21.35959538
0426de18-2865-4d4b-84e7-eac2f041e5c3/0037/x,1.261620186
0426de18-2865-4d4b-84e7-eac2f041e5c3/0037/y,-4.625279642
0426de18-2865-4d4b-84e7-eac2f041e5c3/0037/z,46.29941732
0426de18-2865-4d4b-84e7-eac2f041e5c3/0038/x,1.438689686
0426de18-2865-4d4b-84e7-eac2f041e5c3/0038/y,-6.247203579
0426de18-2865-4d4b-84e7-eac2f041e5c3/0038/z,64.57093084
0426de18-2865-4d4b-84e7-eac2f041e5c3/0039/x,-5.112881806
0426de18-2865-4d4b-84e7-eac2f041e5c3/0039/y,-4.289709172
0426de18-2865-4d4b-84e7-eac2f041e5c3/0039/z,65.71283054
0426de18-2865-4d4b-84e7-eac2f041e5c3/0040/x,1.693227092
0426de18-2865-4d4b-84e7-eac2f041e5c3/0040/y,-4.793064877
0426de18-2865-4d4b-84e7-eac2f041e5c3/0040/z,58.6165579
0426de18-2865-4d4b-84e7-eac2f041e5c3/0041/x,-5.278884462
0426de18-2865-4d4b-84e7-eac2f041e5c3/0041/y,-2.807606264
0426de18-2865-4d4b-84e7-eac2f041e5c3/0041/z,75.8374145
0426de18-2865-4d4b-84e7-eac2f041e5c3/0042/x,-5.278884462
0426de18-2865-4d4b-84e7-eac2f041e5c3/0042/y,-2.723713647
0426de18-2865-4d4b-84e7-eac2f041e5c3/0042/z,77.92702438
0426de18-2865-4d4b-84e7-eac2f041e5c3/0043/x,2.069499779
0426de18-2865-4d4b-84e7-eac2f041e5c3/0043/y,-4.345637584
0426de18-2865-4d4b-84e7-eac2f041e5c3/0043/z,41.23958792
0426de18-2865-4d4b-84e7-eac2f041e5c3/0044/x,-5.323151837
0426de18-2865-4d4b-84e7-eac2f041e5c3/0044/y,-2.695749441
0426de18-2865-4d4b-84e7-eac2f041e5c3/0044/z,75.70510276
0426de18-2865-4d4b-84e7-eac2f041e5c3/0045/x,-5.422753431
0426de18-2865-4d4b-84e7-eac2f041e5c3/0045/y,-2.611856823
0426de18-2865-4d4b-84e7-eac2f041e5c3/0045/z,72.95006781
0426de18-2865-4d4b-84e7-eac2f041e5c3/0046/x,-5.68835768
0426de18-2865-4d4b-84e7-eac2f041e5c3/0046/y,-2.891498881
0426de18-2865-4d4b-84e7-eac2f041e5c3/0046/z,76.72253388
0426de18-2865-4d4b-84e7-eac2f041e5c3/0047/x,-5.876494024
0426de18-2865-4d4b-84e7-eac2f041e5c3/0047/y,-2.807606264
0426de18-2865-4d4b-84e7-eac2f041e5c3/0047/z,73.45061498
0426de18-2865-4d4b-84e7-eac2f041e5c3/0048/x,-6.230633023
0426de18-2865-4d4b-84e7-eac2f041e5c3/0048/y,-2.416107383
0426de18-2865-4d4b-84e7-eac2f041e5c3/0048/z,72.44273884
0426de18-2865-4d4b-84e7-eac2f041e5c3/0049/x,-6.142098274
0426de18-2865-4d4b-84e7-eac2f041e5c3/0049/y,-2.5
0426de18-2865-4d4b-84e7-eac2f041e5c3/0049/z,70.99856732
0426de18-2865-4d4b-84e7-eac2f041e5c3/0050/x,-6.573705179
0426de18-2865-4d4b-84e7-eac2f041e5c3/0050/y,-0.402684564
0426de18-2865-4d4b-84e7-eac2f041e5c3/0050/z,56.53443398
0426de18-2865-4d4b-84e7-eac2f041e5c3/0051/x,7.779991147
0426de18-2865-4d4b-84e7-eac2f041e5c3/0051/y,-8.148769575
0426de18-2865-4d4b-84e7-eac2f041e5c3/0051/z,10.17370003
0426de18-2865-4d4b-84e7-eac2f041e5c3/0052/x,3.596724214
0426de18-2865-4d4b-84e7-eac2f041e5c3/0052/y,-9.211409396
0426de18-2865-4d4b-84e7-eac2f041e5c3/0052/z,44.33670993
0426de18-2865-4d4b-84e7-eac2f041e5c3/0053/x,-3.574590527
0426de18-2865-4d4b-84e7-eac2f041e5c3/0053/y,-8.260626398
0426de18-2865-4d4b-84e7-eac2f041e5c3/0053/z,3.506999036
0426de18-2865-4d4b-84e7-eac2f041e5c3/0054/x,1.66002656
0426de18-2865-4d4b-84e7-eac2f041e5c3/0054/y,-0.206935123
0426de18-2865-4d4b-84e7-eac2f041e5c3/0054/z,12.67984335
0426de18-2865-4d4b-84e7-eac2f041e5c3/0055/x,-18.39309429
0426de18-2865-4d4b-84e7-eac2f041e5c3/0055/y,1.191275168
0426de18-2865-4d4b-84e7-eac2f041e5c3/0055/z,8.856058855
0426de18-2865-4d4b-84e7-eac2f041e5c3/0056/x,-18.75830013
0426de18-2865-4d4b-84e7-eac2f041e5c3/0056/y,0.687919463
0426de18-2865-4d4b-84e7-eac2f041e5c3/0056/z,8.239048809
0426de18-2865-4d4b-84e7-eac2f041e5c3/0057/x,-21.104471
0426de18-2865-4d4b-84e7-eac2f041e5c3/0057/y,0.995525727
0426de18-2865-4d4b-84e7-eac2f041e5c3/0057/z,13.7257379
0426de18-2865-4d4b-84e7-eac2f041e5c3/0058/x,-3.541389996
0426de18-2865-4d4b-84e7-eac2f041e5c3/0058/y,0.212527964
0426de18-2865-4d4b-84e7-eac2f041e5c3/0058/z,26.8980041
0426de18-2865-4d4b-84e7-eac2f041e5c3/0059/x,-4.327135901
0426de18-2865-4d4b-84e7-eac2f041e5c3/0059/y,-2.248322148
0426de18-2865-4d4b-84e7-eac2f041e5c3/0059/z,12.2133011
0426de18-2865-4d4b-84e7-eac2f041e5c3/0060/x,-4.869411244
0426de18-2865-4d4b-84e7-eac2f041e5c3/0060/y,7.483221477
0426de18-2865-4d4b-84e7-eac2f041e5c3/0060/z,7.458087235
0426de18-2865-4d4b-84e7-eac2f041e5c3/0061/x,-3.840194776
0426de18-2865-4d4b-84e7-eac2f041e5c3/0061/y,-0.206935123
0426de18-2865-4d4b-84e7-eac2f041e5c3/0061/z,11.9541123
0426de18-2865-4d4b-84e7-eac2f041e5c3/0062/x,0.287737937
0426de18-2865-4d4b-84e7-eac2f041e5c3/0062/y,-0.542505593
0426de18-2865-4d4b-84e7-eac2f041e5c3/0062/z,10.11897916
0426de18-2865-4d4b-84e7-eac2f041e5c3/0063/x,0.365205843
0426de18-2865-4d4b-84e7-eac2f041e5c3/0063/y,-0.206935123
0426de18-2865-4d4b-84e7-eac2f041e5c3/0063/z,9.821829958
0426de18-2865-4d4b-84e7-eac2f041e5c3/0064/x,0.332005312
0426de18-2865-4d4b-84e7-eac2f041e5c3/0064/y,0.016778523
0426de18-2865-4d4b-84e7-eac2f041e5c3/0064/z,9.305655274
